Timestamp,WC1_TPS,WC2_TPS,SystemTPS
1771015132890,0.00,0.00,0.00
1771015132963,163.00,0.00,162.00
1771015132992,328.00,0.00,291.00
1771015133037,378.00,0.00,321.00
1771015133084,533.00,0.00,454.00
1771015133134,720.00,0.00,603.00
1771015133189,776.00,200.00,678.00
1771015133233,932.00,200.00,810.00
1771015133293,979.00,400.00,876.00
1771015133334,1133.00,400.00,1010.00
1771015133388,1180.00,600.00,1071.00
1771015133432,1334.00,800.00,1247.00
1771015133487,1380.00,800.00,1276.00
1771015133535,1534.00,1000.00,1452.00
1771015133587,1720.00,1000.00,1598.00
1771015133636,1776.00,1200.00,1687.00
1771015133682,1932.00,1400.00,1857.00
1771015133733,1979.00,1400.00,1887.00
1771015133786,2000.00,1600.00,1927.00
1771015133833,2160.00,1800.00,2122.00
1771015133883,2328.00,1800.00,2250.00
1771015133937,2378.00,2000.00,2323.00
1771015133984,2533.00,2200.00,2496.00
1771015134035,2720.00,2200.00,2643.00
1771015134087,2776.00,2400.00,2719.00
1771015134133,2932.00,2400.00,2852.00
1771015134188,2979.00,2600.00,2916.00
1771015134233,3133.00,2800.00,3091.00
1771015134288,3180.00,2800.00,3118.00
1771015134335,3334.00,3000.00,3295.00
1771015134388,3380.00,3200.00,3357.00
1771015134437,3534.00,3200.00,3491.00
1771015134484,3720.00,3400.00,3679.00
1771015134539,3776.00,3600.00,3717.00
1771015134601,3932.00,3600.00,3891.00
1771015134636,3979.00,3800.00,3957.00
1771015134682,4133.00,3801.00,4091.00
1771015134737,4180.00,4000.00,4155.00
1771015134783,4334.00,4180.00,4314.00
1771015134837,4380.00,4183.00,4342.00
1771015134883,4534.00,4380.00,4514.00
1771015134938,4580.00,4580.00,4562.00
1771015134986,4734.00,4580.00,4714.00
1771015135035,4920.00,4734.00,4879.00
1771015135087,4976.00,4734.00,4925.00
1771015135135,5132.00,4934.00,5108.00
1771015135187,5179.00,5132.00,5156.00
1771015135235,5333.00,5132.00,5290.00
1771015135287,5380.00,5332.00,5359.00
1771015135333,5534.00,5380.00,5514.00
1771015135385,5580.00,5380.00,5538.00
1771015135436,5734.00,5580.00,5714.00
1771015135483,5920.00,5580.00,5859.00
1771015135536,5976.00,5780.00,5964.00
1771015135583,6132.00,5976.00,6108.00
1771015135636,6179.00,5976.00,6140.00
1771015135684,6333.00,6176.00,6313.00
1771015135736,6380.00,6209.00,6340.00
1771015135783,6534.00,6333.00,6495.00
1771015135844,6580.00,6533.00,6557.00
1771015135884,6734.00,6580.00,6714.00
1771015135933,6920.00,6580.00,6862.00
1771015135987,6976.00,6780.00,6952.00
1771015136034,7132.00,6780.00,7085.00
1771015136087,7179.00,6980.00,7141.00
1771015136133,7333.00,6980.00,7275.00
1771015136186,7380.00,7179.00,7341.00
1771015136234,7534.00,7379.00,7514.00
1771015136286,7580.00,7435.00,7542.00
1771015136337,7734.00,7579.00,7714.00
1771015136385,7920.00,7734.00,7880.00
1771015136437,7976.00,7734.00,7919.00
1771015136485,8132.00,7934.00,8106.00
1771015136538,8179.00,8132.00,8132.00
1771015136584,8333.00,8132.00,8289.00
1771015136638,8380.00,8332.00,8358.00
1771015136684,8534.00,8332.00,8492.00
1771015136736,8580.00,8532.00,8560.00
1771015136786,8734.00,8580.00,8714.00
1771015136835,8920.00,8780.00,8859.00
1771015136884,8976.00,8780.00,8954.00
