Timestamp,Profit,CurrentTPS,CurrentTokens,TokensUsed,TransactionsUpgraded
1777321123476,9200.00,0.00,260000.00,339.30,0
1777321123526,18510.00,0.00,260000.00,678.60,0
1777321123558,8710.00,144.00,260000.00,339.30,0
1777321123583,8940.00,192.00,260000.00,339.30,0
1777321123609,9260.00,262.00,260000.00,339.30,0
1777321123635,8870.00,335.00,260000.00,339.30,0
1777321123701,17940.00,410.00,260000.00,678.60,0
1777321123748,8910.00,537.00,260000.00,339.30,0
1777321123775,8810.00,600.00,260000.00,339.30,0
1777321123827,8850.00,660.00,260000.00,339.30,0
1777321123852,9030.00,720.00,260000.00,339.30,0
1777321123878,9030.00,780.00,260000.00,339.30,0
1777321123902,9060.00,837.00,260000.00,339.30,0
1777321123947,9110.00,900.00,260000.00,339.30,0
1777321123992,9150.00,960.00,260000.00,339.30,0
1777321124016,8860.00,1020.00,260000.00,339.30,0
1777321124049,9120.00,1080.00,260000.00,339.30,0
1777321124080,8830.00,1140.00,260000.00,339.30,0
1777321124126,9070.00,1200.00,260000.00,339.30,0
1777321124158,9040.00,1260.00,260000.00,339.30,0
1777321124191,9010.00,1320.00,260000.00,339.30,0
1777321124251,17990.00,1380.00,260000.00,678.60,0
1777321124285,9000.00,1500.00,260000.00,339.30,0
1777321124313,9220.00,1560.00,260000.00,339.30,0
1777321124341,9110.00,1620.00,260000.00,339.30,0
1777321124370,8860.00,1677.00,260000.00,339.30,0
1777321124399,9400.00,1737.00,260000.00,339.30,0
1777321124433,21070.00,1797.00,260000.00,432.72,173
1777321124460,23380.00,1857.00,260000.00,468.90,240
1777321124511,22310.00,1920.00,260000.00,468.90,240
1777321124542,23240.00,1980.00,260000.00,468.90,240
1777321124572,23100.00,2040.00,260000.00,468.90,240
1777321124603,23480.00,2100.00,260000.00,468.90,240
1777321124634,23280.00,2160.00,260000.00,468.90,240
1777321124685,23420.00,2220.00,260000.00,468.90,240
1777321124712,23490.00,2280.00,260000.00,468.90,240
1777321124739,23520.00,2340.00,260000.00,468.90,240
1777321124785,23280.00,2397.00,260000.00,468.90,240
1777321124812,23920.00,2457.00,260000.00,468.90,240
1777321124860,23420.00,2520.00,260000.00,468.90,240
1777321124884,23740.00,2580.00,260000.00,468.90,240
1777321124909,23640.00,2640.00,260000.00,468.90,240
1777321124935,23730.00,2641.00,260000.00,468.90,240
1777321124981,23670.00,2757.00,260000.00,468.90,240
1777321125006,23060.00,2820.00,260000.00,468.90,240
1777321125052,22930.00,2877.00,260000.00,468.90,240
1777321125077,24150.00,2937.00,260000.00,468.90,240
1777321125101,23220.00,2997.00,260000.00,468.90,240
1777321125145,23540.00,3057.00,260000.00,468.90,240
1777321125168,23760.00,3117.00,260000.00,468.90,240
1777321125212,23640.00,3180.00,260000.00,468.90,240
1777321125258,22930.00,3240.00,260000.00,468.90,240
1777321125281,23890.00,3300.00,260000.00,468.90,240
1777321125325,23270.00,3357.00,260000.00,468.90,240
1777321125348,23310.00,3417.00,260000.00,468.90,240
1777321125393,23000.00,3480.00,260000.00,468.90,240
1777321125417,23820.00,3540.00,260000.00,468.90,240
1777321125464,23250.00,3597.00,260000.00,468.90,240
1777321125492,23710.00,3657.00,260000.00,468.90,240
1777321125521,24120.00,3717.00,260000.00,468.90,240
1777321125548,23550.00,3777.00,260000.00,468.90,240
1777321125597,23530.00,3840.00,260000.00,468.90,240
1777321125624,22800.00,3897.00,260000.00,468.90,240
1777321125649,22770.00,3960.00,260000.00,468.90,240
1777321125677,23750.00,4017.00,260000.00,468.90,240
1777321125724,22920.00,4080.00,260000.00,468.90,240
1777321125748,23040.00,4137.00,260000.00,468.90,240
1777321125773,22730.00,4197.00,260000.00,468.90,240
1777321125818,23650.00,4257.00,260000.00,468.90,240
1777321125843,23040.00,4317.00,260000.00,468.90,240
1777321125888,22690.00,4377.00,260000.00,468.90,240
1777321125913,23670.00,4437.00,260000.00,468.90,240
1777321125957,23850.00,4497.00,260000.00,468.90,240
