Timestamp,Profit,CurrentTPS,CurrentTokens,TokensUsed,TransactionsUpgraded
1777266734141,593.00,0.00,260000.00,593.56,525
1777266734172,624.00,0.00,260000.00,592.18,525
1777266734202,607.00,0.00,260000.00,594.02,525
1777266734232,585.00,0.00,260000.00,593.10,525
1777266734258,589.00,0.00,260000.00,592.18,525
1777266734293,589.00,0.00,260000.00,593.10,525
1777266734355,1199.00,13.00,260000.00,678.60,0
1777266734400,600.00,154.00,260000.00,339.30,0
1777266734425,612.00,226.00,260000.00,339.30,0
1777266734451,609.00,316.00,260000.00,339.30,0
1777266734501,583.00,486.00,260000.00,339.30,0
1777266734530,595.00,621.00,260000.00,339.30,0
1777266734560,574.00,743.00,260000.00,339.30,0
1777266734616,603.00,840.00,260000.00,339.30,0
1777266734645,616.00,900.00,260000.00,339.30,0
1777266734677,600.00,960.00,260000.00,339.30,0
1777266734710,617.00,1020.00,260000.00,339.30,0
1777266734741,617.00,1080.00,260000.00,339.30,0
1777266734770,583.00,1140.00,260000.00,339.30,0
1777266734802,598.00,1200.00,260000.00,339.30,0
1777266734840,627.00,1260.00,260000.00,339.30,0
1777266734870,602.00,1320.00,260000.00,339.30,0
1777266734901,597.00,1380.00,260000.00,339.30,0
1777266734931,590.00,1440.00,260000.00,339.30,0
1777266734962,595.00,1500.00,260000.00,339.30,0
1777266734994,605.00,1560.00,260000.00,339.30,0
1777266735043,613.00,1620.00,260000.00,339.30,0
1777266735081,590.00,1680.00,260000.00,339.30,0
1777266735104,609.00,1740.00,260000.00,339.30,0
1777266735128,587.00,1800.00,260000.00,339.30,0
1777266735176,599.00,1860.00,260000.00,339.30,0
1777266735205,622.00,1920.00,260000.00,339.30,0
1777266735233,593.00,1980.00,260000.00,339.30,0
1777266735283,585.00,2040.00,260000.00,339.30,0
1777266735312,624.00,2100.00,260000.00,339.30,0
1777266735340,595.00,2160.00,260000.00,339.30,0
1777266735365,584.00,2220.00,260000.00,339.30,0
1777266735391,629.00,2277.00,259996.55,339.30,0
1777266735437,595.00,2340.00,260000.00,339.30,0
1777266735463,592.00,2400.00,260000.00,339.30,0
1777266735489,597.00,2460.00,260000.00,339.30,0
1777266735535,595.00,2520.00,260000.00,339.30,0
1777266735561,599.00,2580.00,260000.00,339.30,0
1777266735587,590.00,2637.00,260000.00,339.30,0
1777266735663,1220.00,2700.00,260000.00,678.60,0
1777266735687,606.00,2820.00,260000.00,339.30,0
1777266735733,638.00,2880.00,260000.00,339.30,0
1777266735760,601.00,2940.00,260000.00,339.30,0
1777266735786,597.00,3000.00,260000.00,339.30,0
1777266735833,612.00,3060.00,260000.00,339.30,0
1777266735861,625.00,3117.00,260000.00,339.30,0
1777266735888,601.00,3177.00,260000.00,339.30,0
1777266735935,622.00,3240.00,260000.00,339.30,0
1777266735961,597.00,3300.00,260000.00,339.30,0
1777266735988,607.00,3360.00,260000.00,339.30,0
1777266736036,606.00,3420.00,260000.00,339.30,0
1777266736064,613.00,3480.00,260000.00,339.30,0
1777266736091,614.00,3537.00,260000.00,339.30,0
1777266736118,580.00,3597.00,260000.00,339.30,0
1777266736166,611.00,3657.00,260000.00,339.30,0
1777266736193,584.00,3717.00,260000.00,339.30,0
1777266736220,617.00,3777.00,260000.00,339.30,0
1777266736268,619.00,3840.00,260000.00,339.30,0
1777266736298,588.00,3900.00,260000.00,339.30,0
1777266736326,592.00,3960.00,260000.00,339.30,0
1777266736355,597.00,4020.00,260000.00,339.30,0
1777266736384,610.00,4080.00,260000.00,395.46,104
1777266736429,590.00,4140.00,260000.00,403.56,119
