Timestamp,Profit,CurrentTPS,CurrentTokens,TokensUsed,TransactionsUpgraded
1777323957507,24080.00,0.00,NA,4530.00,0
1777323957579,24190.00,128.00,NA,4530.00,0
1777323957617,12170.00,256.00,NA,2265.00,0
1777323957647,12220.00,320.00,NA,2265.00,0
1777323957697,23660.00,480.00,NA,4530.00,0
1777323957770,24240.00,640.00,NA,4530.00,0
1777323957803,12060.00,784.00,NA,2265.00,0
1777323957829,11780.00,867.00,NA,2265.00,0
1777323957877,11890.00,960.00,NA,2265.00,0
1777323957904,11930.00,1027.00,NA,2265.00,0
1777323957951,12130.00,1120.00,NA,2265.00,0
1777323957981,11730.00,1187.00,NA,2265.00,0
1777323958009,11570.00,1280.00,NA,2265.00,0
1777323958038,11880.00,1347.00,NA,2265.00,0
1777323958089,11960.00,1440.00,NA,2265.00,0
1777323958119,12140.00,1507.00,NA,2265.00,0
1777323958148,11910.00,1587.00,NA,2265.00,0
1777323958174,11840.00,1667.00,NA,2265.00,0
1777323958204,11760.00,1747.00,NA,2265.00,0
1777323958232,12230.00,1827.00,NA,2265.00,0
1777323958282,11950.00,1920.00,NA,2265.00,0
1777323958310,12000.00,2000.00,NA,2265.00,0
1777323958338,11730.00,2080.00,NA,2265.00,0
1777323958366,11970.00,2160.00,NA,2265.00,0
1777323958394,11930.00,2227.00,NA,2265.00,0
1777323958443,12010.00,2320.00,NA,2265.00,0
1777323958471,12090.00,2387.00,NA,2265.00,0
1777323958515,12270.00,2480.00,NA,2265.00,0
1777323958541,12110.00,2547.00,NA,2265.00,0
1777323958567,12130.00,2627.00,NA,2265.00,0
1777323958595,11810.00,2707.00,NA,2265.00,0
1777323958642,11890.00,2800.00,NA,2265.00,0
1777323958669,11910.00,2880.00,NA,2265.00,0
1777323958694,11860.00,2960.00,NA,2265.00,0
1777323958739,11690.00,3040.00,NA,2265.00,0
1777323958764,12110.00,3120.00,NA,2265.00,0
1777323958790,12000.00,3200.00,NA,2265.00,0
1777323958836,11750.00,3280.00,NA,2265.00,0
1777323958860,12100.00,3347.00,NA,2265.00,0
1777323958891,12000.00,3439.00,NA,2265.00,0
1777323958936,11980.00,3520.00,NA,2265.00,0
1777323958980,12140.00,3600.00,NA,2265.00,0
1777323959005,12000.00,3680.00,NA,2265.00,0
1777323959030,12320.00,3760.00,NA,2265.00,0
1777323959055,12360.00,3840.00,NA,2265.00,0
1777323959100,11790.00,3920.00,NA,2265.00,0
1777323959124,11870.00,4000.00,NA,2265.00,0
1777323959170,11730.00,4080.00,NA,2265.00,0
1777323959194,12040.00,4147.00,NA,2265.00,0
1777323959221,12050.00,4227.00,NA,2265.00,0
1777323959267,11890.00,4320.00,NA,2265.00,0
1777323959292,11650.00,4396.00,NA,2265.00,0
1777323959348,12060.00,4480.00,NA,2265.00,0
1777323959372,12050.00,4547.00,NA,2265.00,0
1777323959396,11990.00,4640.00,NA,2265.00,0
1777323959420,11790.00,4720.00,NA,2265.00,0
1777323959474,11970.00,4800.00,NA,2265.00,0
1777323959500,11950.00,4867.00,NA,2265.00,0
1777323959525,12040.00,4947.00,NA,2265.00,0
1777323959551,11830.00,5027.00,NA,2265.00,0
1777323959596,11920.00,5120.00,NA,2265.00,0
1777323959620,12100.00,5200.00,NA,2265.00,0
1777323959667,12110.00,5280.00,NA,2265.00,0
1777323959719,12080.00,5360.00,NA,2265.00,0
1777323959743,11990.00,5440.00,NA,2265.00,0
1777323959788,12010.00,5520.00,NA,2265.00,0
1777323959811,12160.00,5600.00,NA,2265.00,0
1777323959835,11860.00,5680.00,NA,2265.00,0
1777323959879,11690.00,5760.00,NA,2265.00,0
1777323959905,12040.00,5840.00,NA,2265.00,0
1777323959950,11800.00,5920.00,NA,2265.00,0
1777323959975,12020.00,5987.00,NA,2265.00,0
1777323960022,11880.00,6080.00,NA,2265.00,0
1777323960048,12110.00,6160.00,NA,2265.00,0
1777323960074,12140.00,6240.00,NA,2265.00,0
1777323960120,12200.00,6320.00,NA,2265.00,0
1777323960145,11910.00,6400.00,NA,2265.00,0
1777323960170,12070.00,6480.00,NA,2265.00,0
1777323960216,11990.00,6560.00,NA,2265.00,0
1777323960242,11770.00,6627.00,NA,2265.00,0
1777323960267,11950.00,6720.00,NA,2265.00,0
1777323960302,11990.00,6800.00,NA,2265.00,0
1777323960348,11840.00,6880.00,NA,2265.00,0
1777323960373,11780.00,6960.00,NA,2265.00,0
1777323960418,11780.00,7040.00,NA,2265.00,0
1777323960444,11680.00,7120.00,NA,2265.00,0
1777323960470,11970.00,7200.00,NA,2265.00,0
1777323960516,11840.00,7280.00,NA,2265.00,0
1777323960541,11790.00,7347.00,NA,2265.00,0
1777323960567,12250.00,7440.00,NA,2265.00,0
1777323960613,11940.00,7520.00,NA,2265.00,0
1777323960639,12280.00,7587.00,NA,2265.00,0
1777323960684,12010.00,7680.00,NA,2265.00,0
1777323960709,11990.00,7760.00,NA,2265.00,0
1777323960734,12090.00,7840.00,NA,2265.00,0
1777323960779,12420.00,7920.00,NA,2265.00,0
1777323960804,12010.00,8000.00,NA,2265.00,0
1777323960850,12090.00,8080.00,NA,2265.00,0
1777323960875,12150.00,8147.00,NA,2265.00,0
1777323960902,12170.00,8224.00,NA,2265.00,0
1777323960947,12150.00,8320.00,NA,2265.00,0
1777323960972,12090.00,8397.00,NA,2265.00,0
1777323960997,12110.00,8467.00,NA,2265.00,0
1777323961043,11750.00,8560.00,NA,2265.00,0
1777323961069,12310.00,8640.00,NA,2265.00,0
1777323961114,11950.00,8720.00,NA,2265.00,0
1777323961139,11890.00,8787.00,NA,2265.00,0
1777323961165,12380.00,8880.00,NA,2265.00,0
1777323961211,12180.00,8960.00,NA,2265.00,0
1777323961236,12080.00,9027.00,NA,2265.00,0
1777323961262,11980.00,9107.00,NA,2265.00,0
1777323961307,11960.00,9200.00,NA,2265.00,0
1777323961332,11840.00,9267.00,NA,2265.00,0
1777323961378,12290.00,9360.00,NA,2265.00,0
1777323961404,11820.00,9440.00,NA,2265.00,0
1777323961430,12180.00,9520.00,NA,2265.00,0
1777323961477,12070.00,9600.00,NA,2265.00,0
1777323961504,12070.00,9667.00,NA,2265.00,0
1777323961537,11710.00,9760.00,NA,2265.00,0
1777323961563,11800.00,9827.00,NA,2265.00,0
1777323961610,11710.00,9920.00,NA,2265.00,0
1777323961637,12160.00,10000.00,NA,2265.00,0
1777323961662,11940.00,10067.00,NA,2265.00,0
1777323961709,11990.00,10160.00,NA,2265.00,0
1777323961734,12110.00,10240.00,NA,2265.00,0
1777323961780,12190.00,10320.00,NA,2265.00,0
1777323961806,11850.00,10387.00,NA,2265.00,0
1777323961833,12200.00,10467.00,NA,2265.00,0
1777323961860,11780.00,10560.00,NA,2265.00,0
1777323961907,11740.00,10640.00,NA,2265.00,0
1777323961932,11930.00,10707.00,NA,2265.00,0
1777323961959,12040.00,10787.00,NA,2265.00,0
1777323962005,12170.00,10880.00,NA,2265.00,0
1777323962033,11990.00,10960.00,NA,2265.00,0
1777323962059,12120.00,11040.00,NA,2265.00,0
1777323962106,12120.00,11120.00,NA,2265.00,0
1777323962132,12170.00,11187.00,NA,2265.00,0
1777323962157,11900.00,11280.00,NA,2265.00,0
1777323962204,12130.00,11360.00,NA,2265.00,0
1777323962230,12060.00,11427.00,NA,2265.00,0
1777323962256,12010.00,11507.00,NA,2265.00,0
1777323962303,11510.00,11600.00,NA,2265.00,0
1777323962330,11910.00,11680.00,NA,2265.00,0
1777323962356,12190.00,11760.00,NA,2265.00,0
1777323962403,11780.00,11840.00,NA,2265.00,0
1777323962430,12090.00,11920.00,NA,2265.00,0
1777323962456,12230.00,12000.00,NA,2265.00,0
1777323962504,11830.00,12080.00,NA,2265.00,0
1777323962530,11860.00,12147.00,NA,2265.00,0
1777323962562,12170.00,12099.00,NA,2265.00,0
1777323962594,12170.00,12143.00,NA,2265.00,0
1777323962621,12020.00,12131.00,NA,2265.00,0
1777323962670,11930.00,12067.00,NA,2265.00,0
1777323962698,12170.00,12080.00,NA,2265.00,0
1777323962727,12190.00,12026.00,NA,2265.00,0
1777323962755,11960.00,12106.00,NA,2265.00,0
1777323962802,11670.00,12026.00,NA,2265.00,0
1777323962829,11920.00,12000.00,NA,2265.00,0
1777323962856,11960.00,11987.00,NA,2265.00,0
1777323962905,12010.00,12013.00,NA,2265.00,0
1777323962933,12110.00,12013.00,NA,2265.00,0
1777323962961,12140.00,12034.00,NA,2265.00,0
1777323962990,12110.00,12016.00,NA,2265.00,0
1777323963018,12400.00,12042.00,NA,2265.00,0
1777323963067,11870.00,12013.00,NA,2265.00,0
1777323963094,11970.00,12067.00,NA,2265.00,0
1777323963135,12150.00,11984.00,NA,2265.00,0
1777323963163,12140.00,12000.00,NA,2265.00,0
1777323963192,11910.00,12000.00,NA,2265.00,0
1777323963223,11910.00,12013.00,NA,2265.00,0
1777323963250,12430.00,12016.00,NA,2265.00,0
1777323963298,11610.00,12013.00,NA,2265.00,0
1777323963326,12310.00,12013.00,NA,2265.00,0
1777323963353,11780.00,12013.00,NA,2265.00,0
1777323963403,12010.00,11933.00,NA,2265.00,0
1777323963433,12100.00,11987.00,NA,2265.00,0
1777323963460,11960.00,12000.00,NA,2265.00,0
1777323963486,11960.00,12013.00,NA,2265.00,0
1777323963535,12060.00,12013.00,NA,2265.00,0
1777323963562,11710.00,12013.00,NA,2265.00,0
1777323963590,11990.00,12016.00,NA,2265.00,0
1777323963621,11940.00,12003.00,NA,2265.00,0
1777323963669,12100.00,12000.00,NA,2265.00,0
1777323963696,12130.00,11987.00,NA,2265.00,0
1777323963724,12060.00,12000.00,NA,2265.00,0
1777323963795,11890.00,11853.00,NA,2265.00,0
1777323963819,12080.00,11907.00,NA,2265.00,0
1777323963863,12250.00,11885.00,NA,2265.00,0
1777323963887,12160.00,11923.00,NA,2265.00,0
1777323963910,11830.00,11920.00,NA,2265.00,0
1777323963954,11960.00,11933.00,NA,2265.00,0
1777323963977,12090.00,12000.00,NA,2265.00,0
1777323964022,12120.00,11920.00,NA,2265.00,0
1777323964045,11900.00,11933.00,NA,2265.00,0
1777323964093,12060.00,11920.00,NA,2265.00,0
1777323964118,12030.00,11907.00,NA,2265.00,0
1777323964142,12300.00,11907.00,NA,2265.00,0
1777323964186,12160.00,11933.00,NA,2265.00,0
1777323964210,12150.00,11923.00,NA,2265.00,0
1777323964254,12180.00,11920.00,NA,2265.00,0
1777323964278,11580.00,11933.00,NA,2265.00,0
1777323964322,11790.00,11933.00,NA,2265.00,0
1777323964345,11830.00,12000.00,NA,2265.00,0
1777323964390,11830.00,11920.00,NA,2265.00,0
1777323964414,12040.00,11907.00,NA,2265.00,0
1777323964458,11950.00,11920.00,NA,2265.00,0
1777323964483,12030.00,11933.00,NA,2265.00,0
1777323964506,12060.00,11920.00,NA,2265.00,0
1777323964551,12070.00,11933.00,NA,2265.00,0
1777323964575,11850.00,11921.00,NA,2265.00,0
1777323964619,11960.00,11933.00,NA,2265.00,0
1777323964643,11830.00,11933.00,NA,2265.00,0
1777323964688,11920.00,11933.00,NA,2265.00,0
1777323964711,11690.00,11987.00,NA,2265.00,0
1777323964756,11770.00,11933.00,NA,2265.00,0
1777323964780,12110.00,12000.00,NA,2265.00,0
1777323964804,11950.00,11987.00,NA,2265.00,0
1777323964849,12010.00,11933.00,NA,2265.00,0
1777323964873,11850.00,12000.00,NA,2265.00,0
1777323964918,12100.00,11933.00,NA,2265.00,0
1777323964942,11890.00,12000.00,NA,2265.00,0
1777323964988,12260.00,11936.00,NA,2265.00,0
1777323965012,12300.00,11987.00,NA,2265.00,0
1777323965037,12000.00,12013.00,NA,2265.00,0
1777323965082,11740.00,11933.00,NA,2265.00,0
1777323965107,12120.00,11987.00,NA,2265.00,0
1777323965152,12000.00,11933.00,NA,2265.00,0
1777323965177,12130.00,11933.00,NA,2265.00,0
1777323965201,12040.00,12000.00,NA,2265.00,0
1777323965246,11910.00,11974.00,NA,2265.00,0
1777323965270,12240.00,11952.00,NA,2265.00,0
1777323965315,11970.00,11920.00,NA,2265.00,0
1777323965339,12020.00,11987.00,NA,2265.00,0
1777323965385,12120.00,11933.00,NA,2265.00,0
1777323965413,11750.00,12000.00,NA,2265.00,0
1777323965438,12070.00,11987.00,NA,2265.00,0
1777323965484,12050.00,11933.00,NA,2265.00,0
1777323965509,12010.00,12000.00,NA,2265.00,0
1777323965533,11950.00,12013.00,NA,2265.00,0
1777323965578,12070.00,11933.00,NA,2265.00,0
1777323965604,11930.00,12000.00,NA,2265.00,0
1777323965650,12190.00,11933.00,NA,2265.00,0
1777323965675,12220.00,11987.00,NA,2265.00,0
1777323965700,11980.00,12000.00,NA,2265.00,0
1777323965745,12130.00,11933.00,NA,2265.00,0
1777323965771,11950.00,12000.00,NA,2265.00,0
1777323965796,11740.00,11987.00,NA,2265.00,0
1777323965842,12010.00,12000.00,NA,2265.00,0
1777323965867,11680.00,12013.00,NA,2265.00,0
1777323965913,11820.00,11949.00,NA,2265.00,0
1777323965944,11560.00,12000.00,NA,2265.00,0
1777323965969,11900.00,12000.00,NA,2265.00,0
1777323965994,12050.00,12013.00,NA,2265.00,0
1777323966039,12250.00,12000.00,NA,2265.00,0
1777323966065,12390.00,11987.00,NA,2265.00,0
1777323966111,12120.00,12000.00,NA,2265.00,0
1777323966136,12070.00,12013.00,NA,2265.00,0
1777323966161,12120.00,12003.00,NA,2265.00,0
1777323966207,12160.00,12000.00,NA,2265.00,0
1777323966233,12070.00,12013.00,NA,2265.00,0
1777323966280,11900.00,11923.00,NA,2265.00,0
1777323966305,11890.00,11987.00,NA,2265.00,0
1777323966332,12220.00,12000.00,NA,2265.00,0
1777323966378,11940.00,12000.00,NA,2265.00,0
1777323966403,12020.00,12000.00,NA,2265.00,0
1777323966429,11930.00,11987.00,NA,2265.00,0
1777323966475,11790.00,12000.00,NA,2265.00,0
1777323966501,12220.00,12013.00,NA,2265.00,0
1777323966527,11670.00,12003.00,NA,2265.00,0
1777323966572,11980.00,11949.00,NA,2265.00,0
1777323966598,11920.00,12000.00,NA,2265.00,0
1777323966624,12380.00,12013.00,NA,2265.00,0
1777323966670,11740.00,11933.00,NA,2265.00,0
1777323966696,12040.00,11987.00,NA,2265.00,0
1777323966723,12150.00,12000.00,NA,2265.00,0
1777323966769,12160.00,12000.00,NA,2265.00,0
1777323966796,11940.00,12013.00,NA,2265.00,0
1777323966822,11770.00,12013.00,NA,2265.00,0
1777323966869,12180.00,11933.00,NA,2265.00,0
1777323966896,12090.00,12000.00,NA,2265.00,0
1777323966923,11960.00,12013.00,NA,2265.00,0
1777323966974,12050.00,11933.00,NA,2265.00,0
1777323967004,11820.00,12000.00,NA,2265.00,0
1777323967030,12250.00,11987.00,NA,2265.00,0
1777323967057,11930.00,11987.00,NA,2265.00,0
1777323967104,12100.00,12000.00,NA,2265.00,0
1777323967131,12130.00,12013.00,NA,2265.00,0
1777323967157,12230.00,12002.00,NA,2265.00,0
1777323967203,11750.00,12000.00,NA,2265.00,0
1777323967229,11790.00,12013.00,NA,2265.00,0
1777323967256,11990.00,12013.00,NA,2265.00,0
1777323967334,11730.00,11853.00,NA,2265.00,0
1777323967357,11750.00,11907.00,NA,2265.00,0
1777323967401,11940.00,11920.00,NA,2265.00,0
1777323967424,12150.00,11920.00,NA,2265.00,0
1777323967468,12030.00,11853.00,NA,2265.00,0
1777323967492,11870.00,11920.00,NA,2265.00,0
