Timestamp,Profit,CurrentTPS,CurrentTokens,TokensUsed,TransactionsUpgraded
1777321123476,9140.00,0.00,260000.00,339.30,0
1777321123526,17940.00,0.00,260000.00,678.60,0
1777321123558,8890.00,144.00,260000.00,339.30,0
1777321123591,8950.00,196.00,260000.00,339.30,0
1777321123618,8830.00,274.00,260000.00,339.30,0
1777321123660,8840.00,342.00,260000.00,339.30,0
1777321123685,8910.00,403.00,260000.00,339.30,0
1777321123709,9110.00,480.00,260000.00,339.30,0
1777321123757,8920.00,539.00,260000.00,339.30,0
1777321123785,9020.00,600.00,260000.00,339.30,0
1777321123815,9070.00,660.00,260000.00,339.30,0
1777321123846,8810.00,720.00,260000.00,339.30,0
1777321123878,8930.00,780.00,260000.00,339.30,0
1777321123913,9060.00,837.00,260000.00,339.30,0
1777321123969,8980.00,900.00,260000.00,339.30,0
1777321124007,8910.00,960.00,260000.00,339.30,0
1777321124046,18050.00,1020.00,260000.00,678.60,0
1777321124101,8990.00,1140.00,260000.00,339.30,0
1777321124134,9050.00,1200.00,260000.00,339.30,0
1777321124167,9010.00,1260.00,260000.00,339.30,0
1777321124196,9140.00,1320.00,260000.00,339.30,0
1777321124250,18030.00,1380.00,260000.00,678.60,0
1777321124283,8930.00,1500.00,260000.00,339.30,0
1777321124308,9130.00,1560.00,260000.00,339.30,0
1777321124337,8950.00,1620.00,260000.00,339.30,0
1777321124388,9050.00,1680.00,260000.00,339.30,0
1777321124416,8880.00,1740.00,260000.00,339.30,0
1777321124447,8910.00,1800.00,260000.00,339.30,0
1777321124478,8940.00,1860.00,260000.00,339.30,0
1777321124509,9080.00,1920.00,260000.00,339.30,0
1777321124541,9040.00,1980.00,260000.00,339.30,0
1777321124571,8960.00,2040.00,260000.00,339.30,0
1777321124603,8650.00,2100.00,260000.00,339.30,0
1777321124635,20240.00,2160.00,260000.00,425.16,159
1777321124685,21790.00,2220.00,260000.00,447.30,200
1777321124712,23580.00,2280.00,260000.00,468.90,240
1777321124736,23850.00,2340.00,260000.00,468.90,240
1777321124781,22980.00,2397.00,260000.00,468.90,240
1777321124806,23480.00,2457.00,260000.00,468.90,240
1777321124852,23040.00,2520.00,260000.00,468.90,240
1777321124879,23820.00,2577.00,260000.00,468.90,240
1777321124903,23550.00,2637.00,260000.00,468.90,240
1777321124959,23470.00,2697.00,260000.00,468.90,240
1777321124982,23430.00,2760.00,260000.00,468.90,240
1777321125008,23080.00,2820.00,260000.00,468.90,240
1777321125033,23020.00,2877.00,259953.85,468.90,240
1777321125080,23350.00,2937.00,260000.00,468.90,240
1777321125106,23360.00,2997.00,260000.00,468.90,240
1777321125153,23700.00,3060.00,260000.00,468.90,240
1777321125182,23960.00,3120.00,260000.00,468.90,240
1777321125207,23080.00,3180.00,260000.00,468.90,240
1777321125261,23970.00,3240.00,260000.00,468.90,240
1777321125286,23350.00,3300.00,260000.00,468.90,240
1777321125312,23680.00,3357.00,260000.00,468.90,240
1777321125359,23950.00,3420.00,260000.00,468.90,240
1777321125385,23480.00,3477.00,260000.00,468.90,240
1777321125431,23400.00,3540.00,260000.00,468.90,240
1777321125458,23270.00,3597.00,260000.00,468.90,240
1777321125486,23370.00,3657.00,260000.00,468.90,240
1777321125513,23280.00,3717.00,260000.00,468.90,240
1777321125560,24140.00,3780.00,260000.00,468.90,240
1777321125587,23360.00,3837.00,260000.00,468.90,240
1777321125634,22810.00,3900.00,260000.00,468.90,240
1777321125661,23560.00,3960.00,260000.00,468.90,240
1777321125685,23290.00,4017.00,260000.00,468.90,240
1777321125711,23410.00,4077.00,260000.00,468.90,240
1777321125757,23650.00,4140.00,260000.00,468.90,240
1777321125781,23650.00,4200.00,260000.00,468.90,240
1777321125806,23200.00,4200.00,260000.00,468.90,240
1777321125851,23530.00,4317.00,260000.00,468.90,240
1777321125875,23440.00,4377.00,260000.00,468.90,240
1777321125920,23510.00,4437.00,260000.00,468.90,240
1777321125945,23050.00,4497.00,260000.00,468.90,240
1777321125990,24030.00,4560.00,260000.00,468.90,240
1777321126015,23780.00,4617.00,260000.00,468.90,240
1777321126039,22680.00,4677.00,260000.00,468.90,240
1777321126084,23440.00,4740.00,260000.00,468.90,240
1777321126109,23290.00,4800.00,260000.00,468.90,240
1777321126157,23940.00,4857.00,260000.00,468.90,240
1777321126183,23410.00,4920.00,260000.00,468.90,240
1777321126208,23310.00,4980.00,260000.00,468.90,240
1777321126254,23510.00,5040.00,260000.00,468.90,240
1777321126280,23290.00,5097.00,260000.00,468.90,240
1777321126306,22990.00,5157.00,260000.00,468.90,240
1777321126351,23000.00,5220.00,260000.00,468.90,240
1777321126380,23000.00,5277.00,260000.00,468.90,240
1777321126409,23470.00,5337.00,260000.00,468.90,240
1777321126439,23550.00,5397.00,260000.00,468.90,240
1777321126488,23210.00,5460.00,260000.00,468.90,240
1777321126517,23890.00,5517.00,260000.00,468.90,240
1777321126547,23720.00,5577.00,260000.00,468.90,240
1777321126577,23280.00,5637.00,260000.00,468.90,240
1777321126606,23660.00,5697.00,260000.00,468.90,240
1777321126655,23210.00,5760.00,260000.00,468.90,240
1777321126681,23400.00,5820.00,260000.00,468.90,240
1777321126710,38650.00,5877.00,260000.00,489.60,494
1777321126740,39200.00,5933.00,260000.00,489.60,494
1777321126789,39580.00,6000.00,260000.00,489.60,494
1777321126818,39990.00,6060.00,260000.00,489.60,506
1777321126846,39670.00,6120.00,260000.00,489.60,519
1777321126875,40670.00,6180.00,260000.00,489.60,525
1777321126905,41660.00,6240.00,260000.00,489.60,525
1777321126954,39600.00,6300.00,260000.00,489.60,525
1777321126983,40440.00,6360.00,260000.00,489.60,525
1777321127012,40120.00,6413.00,260000.00,489.60,525
1777321127040,41280.00,6470.00,260000.00,489.60,525
1777321127066,41030.00,6530.00,260000.00,489.60,525
1777321127116,41560.00,6600.00,260000.00,489.60,525
1777321127146,39690.00,6660.00,260000.00,489.60,525
1777321127176,40000.00,6720.00,260000.00,489.60,525
1777321127206,40930.00,6780.00,260000.00,489.60,525
1777321127236,40930.00,6840.00,260000.00,489.60,525
1777321127310,40150.00,6900.00,260000.00,489.60,525
1777321127335,40100.00,6960.00,260000.00,489.60,525
1777321127362,41790.00,7020.00,260000.00,489.60,525
1777321127387,41290.00,7074.00,260000.00,489.60,525
1777321127437,40570.00,7140.00,260000.00,489.60,525
1777321127464,40670.00,7200.00,260000.00,489.60,525
1777321127495,40860.00,7260.00,260000.00,489.60,525
1777321127526,40450.00,7320.00,260000.00,489.60,525
1777321127554,40700.00,7380.00,260000.00,489.60,525
1777321127606,40250.00,7439.00,260000.00,489.60,525
1777321127633,40330.00,7492.00,260000.00,489.60,525
1777321127664,41710.00,7555.00,260000.00,489.60,525
1777321127692,41210.00,7613.00,260000.00,489.60,525
1777321127723,41240.00,7674.00,260000.00,489.60,525
1777321127772,41450.00,7740.00,260000.00,489.60,525
1777321127804,40570.00,7800.00,260000.00,489.60,525
1777321127829,40240.00,7848.00,260000.00,489.60,525
1777321127853,41430.00,7908.00,260000.00,489.60,525
1777321127899,41370.00,7980.00,260000.00,489.60,525
1777321127928,41250.00,8028.00,260000.00,489.60,525
1777321127956,39850.00,8088.00,260000.00,489.60,525
1777321127980,40880.00,8148.00,260000.00,489.60,525
1777321128026,40930.00,8220.00,260000.00,489.60,525
1777321128053,40640.00,8272.00,260000.00,489.60,525
1777321128099,40270.00,8340.00,260000.00,489.60,525
1777321128126,40700.00,8393.00,260000.00,489.60,525
1777321128151,39980.00,8448.00,260000.00,489.60,525
1777321128198,40220.00,8520.00,260000.00,489.60,525
1777321128225,41170.00,8572.00,260000.00,489.60,525
1777321128251,39580.00,8628.00,260000.00,489.60,525
1777321128298,40520.00,8700.00,260000.00,489.60,525
1777321128323,39610.00,8760.00,260000.00,489.60,525
1777321128347,41200.00,8820.00,260000.00,489.60,525
1777321128393,40660.00,8872.00,260000.00,489.60,525
1777321128418,42070.00,8929.00,260000.00,489.60,525
1777321128463,40580.00,9000.00,260000.00,489.60,525
1777321128488,40540.00,9060.00,260000.00,489.60,525
1777321128514,40680.00,9119.00,260000.00,489.60,525
1777321128560,40240.00,9036.00,260000.00,489.60,525
1777321128595,39770.00,9033.00,260000.00,489.60,525
1777321128621,39320.00,9022.00,260000.00,489.60,525
1777321128676,41540.00,8968.00,260000.00,489.60,525
1777321128703,40580.00,8948.00,260000.00,489.60,525
1777321128729,41060.00,8986.00,260000.00,489.60,525
1777321128755,39410.00,8990.00,260000.00,489.60,525
