Timestamp,Profit,CurrentTPS,CurrentTokens,TokensUsed,TransactionsUpgraded
1777324461334,57610.00,0.00,259637.64,4800.00,575
1777324461385,24010.00,32.00,260000.00,4530.00,0
1777324461429,23970.00,179.00,258211.80,4530.00,0
1777324461462,12010.00,327.00,260000.00,2265.00,0
1777324461515,12060.00,441.00,260000.00,2265.00,0
1777324461545,11800.00,547.00,260000.00,2265.00,0
1777324461572,11530.00,627.00,260000.00,2265.00,0
1777324461599,11720.00,707.00,260000.00,2265.00,0
1777324461630,11950.00,787.00,258904.14,2265.00,0
1777324461661,11930.00,866.00,258333.06,2265.00,0
1777324461717,11840.00,960.00,260000.00,2265.00,0
1777324461756,11910.00,1040.00,260000.00,2265.00,0
1777324461788,12360.00,1107.00,260000.00,2265.00,0
1777324461826,11850.00,1187.00,260000.00,2265.00,0
1777324461860,11820.00,1276.00,260000.00,2265.00,0
1777324461917,23820.00,1360.00,260000.00,4530.00,0
1777324461960,12000.00,1520.00,260000.00,2265.00,0
1777324461988,12250.00,1587.00,257996.32,2265.00,0
1777324462016,12020.00,1680.00,260000.00,2265.00,0
1777324462049,11870.00,1760.00,260000.00,2265.00,0
1777324462084,11900.00,1827.00,260000.00,2265.00,0
1777324462117,12170.00,1907.00,260000.00,2265.00,0
1777324462152,11900.00,1987.00,260000.00,2265.00,0
1777324462186,12050.00,2080.00,260000.00,2265.00,0
1777324462219,12050.00,2160.00,260000.00,2265.00,0
1777324462253,12040.00,2240.00,260000.00,2265.00,0
1777324462288,12060.00,2320.00,260000.00,2265.00,0
1777324462321,11710.00,2387.00,260000.00,2265.00,0
1777324462371,11740.00,2467.00,260000.00,2265.00,0
1777324462408,24340.00,2560.00,260000.00,4530.00,0
1777324462441,11880.00,2694.00,260000.00,2265.00,0
1777324462478,11730.00,2787.00,260000.00,2265.00,0
1777324462515,12080.00,2867.00,260000.00,2265.00,0
1777324462547,11960.00,2960.00,260000.00,2265.00,0
1777324462576,12300.00,3040.00,260000.00,2265.00,0
1777324462606,12010.00,3120.00,260000.00,2265.00,0
1777324462636,11940.00,3200.00,260000.00,2265.00,0
1777324462668,12280.00,3280.00,260000.00,2265.00,0
1777324462695,11920.00,3360.00,260000.00,2265.00,0
1777324462723,12090.00,3429.00,259480.42,2265.00,0
1777324462772,11860.00,3520.00,260000.00,2265.00,0
1777324462803,12010.00,3587.00,260000.00,2265.00,0
1777324462845,11910.00,3680.00,260000.00,2265.00,0
1777324462874,12050.00,3753.00,260000.00,2265.00,0
1777324462903,12180.00,3834.00,260000.00,2265.00,0
1777324462931,11860.00,3920.00,258845.26,2265.00,0
1777324462980,12150.00,4000.00,260000.00,2265.00,0
1777324463010,11850.00,4067.00,260000.00,2265.00,0
1777324463039,12170.00,4147.00,260000.00,2265.00,0
1777324463068,11960.00,4240.00,259426.07,2265.00,0
1777324463096,11800.00,4320.00,258502.10,2265.00,0
1777324463146,12250.00,4400.00,260000.00,2265.00,0
1777324463174,11790.00,4480.00,260000.00,2265.00,0
1777324463202,12000.00,4560.00,260000.00,2265.00,0
1777324463231,12030.00,4640.00,260000.00,2265.00,0
1777324463296,24080.00,4720.00,258460.02,4530.00,0
1777324463327,11950.00,4880.00,260000.00,2265.00,0
1777324463372,11980.00,4960.00,260000.00,2265.00,0
1777324463397,11990.00,5027.00,260000.00,2265.00,0
1777324463426,12070.00,5120.00,259566.38,2265.00,0
1777324463454,12120.00,5200.00,258382.73,2265.00,0
1777324463502,11910.00,5280.00,260000.00,2265.00,0
1777324463529,11850.00,5360.00,260000.00,2265.00,0
1777324463555,12030.00,5427.00,259071.20,2265.00,0
1777324463604,11960.00,5520.00,260000.00,2265.00,0
1777324463633,12150.00,5600.00,260000.00,2265.00,0
1777324463662,12390.00,5680.00,260000.00,2265.00,0
1777324463691,11900.00,5760.00,259581.15,2265.00,0
1777324463719,12230.00,5840.00,258328.10,2265.00,0
1777324463772,34130.00,5920.00,260000.00,2505.00,320
1777324463807,33240.00,6000.00,260000.00,2505.00,320
1777324463834,34180.00,6080.00,260000.00,2505.00,320
1777324463861,33570.00,6131.00,260000.00,2505.00,320
1777324463894,33440.00,6240.00,259678.08,2505.00,320
1777324463924,33230.00,6320.00,260000.00,2505.00,320
1777324463976,33840.00,6400.00,260000.00,2505.00,320
1777324464007,33590.00,6451.00,260000.00,2505.00,320
1777324464035,33020.00,6531.00,260000.00,2505.00,320
1777324464068,33640.00,6611.00,260000.00,2505.00,320
1777324464096,34350.00,6691.00,260000.00,2505.00,320
1777324464123,32520.00,6771.00,260000.00,2505.00,320
1777324464151,33660.00,6851.00,258664.31,2505.00,320
1777324464198,54340.00,6960.00,260000.00,3999.00,532
1777324464229,53620.00,7040.00,260000.00,3936.00,541
1777324464260,57280.00,7120.00,260000.00,3378.00,564
1777324464289,57020.00,7200.00,259965.49,3963.00,575
1777324464318,56770.00,7280.00,259659.67,3963.00,575
1777324464368,56820.00,7360.00,260000.00,3900.00,575
1777324464400,56810.00,7411.00,260000.00,3882.00,575
1777324464429,57490.00,7491.00,260000.00,3972.00,575
1777324464459,55990.00,7571.00,260000.00,4035.00,575
1777324464488,56850.00,7651.00,260000.00,4008.00,575
1777324464538,57050.00,7760.00,260000.00,3954.00,575
1777324464568,57160.00,7840.00,260000.00,3900.00,575
1777324464599,56880.00,7920.00,260000.00,3945.00,575
1777324464628,56360.00,8000.00,260000.00,4008.00,575
1777324464658,57020.00,8080.00,260000.00,3963.00,575
1777324464688,55320.00,8160.00,260000.00,4044.00,575
1777324464717,56850.00,8240.00,259416.46,3981.00,575
1777324464747,55840.00,8320.00,259815.64,3990.00,575
1777324464776,55590.00,8400.00,258983.03,3252.00,575
1777324464829,57120.00,8480.00,260000.00,3981.00,575
1777324464865,57820.00,8560.00,260000.00,3342.00,575
1777324464898,56540.00,8640.00,260000.00,3405.00,575
1777324464936,55630.00,8720.00,260000.00,3315.00,575
1777324464973,56190.00,8771.00,260000.00,3243.00,575
1777324465009,55580.00,8871.00,260000.00,3333.00,575
1777324465043,56780.00,8960.00,260000.00,3324.00,575
1777324465075,55390.00,9040.00,260000.00,3261.00,575
1777324465123,55790.00,9120.00,260000.00,3270.00,575
1777324465151,113670.00,9200.00,259308.10,6648.00,1150
1777324465179,55260.00,9302.00,260000.00,3333.00,575
1777324465205,57030.00,9411.00,258356.02,3351.00,575
1777324465253,56660.00,9520.00,260000.00,3396.00,575
1777324465281,56660.00,9600.00,260000.00,3135.00,575
1777324465308,57450.00,9680.00,259390.71,3261.00,575
1777324465359,57130.00,9760.00,260000.00,3261.00,575
1777324465387,56100.00,9811.00,260000.00,3342.00,575
1777324465417,57420.00,9891.00,260000.00,3333.00,575
1777324465446,54640.00,9971.00,260000.00,3279.00,575
1777324465476,56120.00,10051.00,259111.23,3324.00,575
1777324465508,57670.00,10131.00,259488.92,3378.00,575
1777324465538,57360.00,10211.00,259186.00,3243.00,575
1777324465588,55820.00,10320.00,260000.00,3306.00,575
1777324465617,57110.00,10400.00,260000.00,3396.00,575
1777324465651,57710.00,10480.00,260000.00,3261.00,575
1777324465692,55810.00,10531.00,260000.00,3414.00,575
1777324465722,56300.00,10611.00,260000.00,3252.00,575
1777324465753,56330.00,10691.00,260000.00,3225.00,575
1777324465783,56640.00,10771.00,260000.00,3369.00,575
1777324465812,57030.00,10871.00,260000.00,3288.00,575
1777324465842,55370.00,10931.00,260000.00,3441.00,575
1777324465872,55580.00,11011.00,259915.38,3423.00,575
1777324465924,55910.00,11120.00,260000.00,3387.00,575
1777324465955,57460.00,11171.00,260000.00,3387.00,575
1777324465991,55750.00,11251.00,260000.00,3315.00,575
1777324466024,56010.00,11331.00,260000.00,3216.00,575
1777324466058,56550.00,11440.00,260000.00,3306.00,575
1777324466089,55510.00,11520.00,260000.00,3423.00,575
1777324466121,56780.00,11600.00,260000.00,3306.00,575
1777324466155,56310.00,11680.00,260000.00,3216.00,575
1777324466187,56710.00,11760.00,260000.00,3315.00,575
1777324466219,56990.00,11840.00,260000.00,3135.00,575
1777324466252,55960.00,11891.00,260000.00,3252.00,575
1777324466287,56650.00,11971.00,260000.00,3351.00,575
1777324466321,56190.00,12051.00,260000.00,3423.00,575
1777324466354,55880.00,12131.00,260000.00,3342.00,575
1777324466393,56760.00,12189.00,260000.00,3306.00,575
1777324466429,56640.00,12141.00,260000.00,3171.00,575
1777324466463,55790.00,12093.00,260000.00,3315.00,575
1777324466496,56120.00,12022.00,260000.00,3378.00,575
1777324466530,57170.00,12034.00,260000.00,3234.00,575
1777324466565,57450.00,11984.00,260000.00,3315.00,575
1777324466600,56700.00,12013.00,260000.00,3171.00,575
1777324466634,56800.00,12013.00,260000.00,3288.00,575
