Profit,CurrentTPS,CurrentTokens,TokensUsed,TransactionsUpgraded
815.00,0.00,0.00,815.00,0
829.00,162.00,0.00,829.00,0
249.00,291.00,0.00,249.00,0
774.00,321.00,0.00,774.00,0
933.00,454.00,0.00,933.00,0
280.00,603.00,0.00,280.00,0
784.00,678.00,0.00,784.00,0
235.00,810.00,0.00,235.00,0
770.00,876.00,0.00,770.00,0
231.00,1010.00,0.00,231.00,0
770.00,1071.00,0.00,770.00,0
230.00,1247.00,0.00,230.00,0
770.00,1276.00,0.00,770.00,0
930.00,1452.00,0.00,930.00,0
280.00,1598.00,0.00,280.00,0
784.00,1687.00,0.00,784.00,0
235.00,1857.00,0.00,235.00,0
101.00,1887.00,0.00,101.00,0
802.00,1927.00,0.00,802.00,0
838.00,2122.00,0.00,838.00,0
251.00,2250.00,0.00,251.00,0
776.00,2323.00,0.00,776.00,0
933.00,2496.00,0.00,933.00,0
280.00,2643.00,0.00,280.00,0
784.00,2719.00,0.00,784.00,0
235.00,2852.00,0.00,235.00,0
770.00,2916.00,0.00,770.00,0
231.00,3091.00,0.00,231.00,0
770.00,3118.00,0.00,770.00,0
230.00,3295.00,0.00,230.00,0
770.00,3357.00,0.00,770.00,0
930.00,3491.00,0.00,930.00,0
280.00,3679.00,0.00,280.00,0
784.00,3717.00,0.00,784.00,0
235.00,3891.00,0.00,235.00,0
770.00,3957.00,0.00,770.00,0
231.00,4091.00,0.00,231.00,0
770.00,4155.00,0.00,770.00,0
230.00,4314.00,0.00,230.00,0
770.00,4342.00,0.00,770.00,0
230.00,4514.00,0.00,230.00,0
770.00,4562.00,0.00,770.00,0
930.00,4714.00,0.00,930.00,0
280.00,4879.00,0.00,280.00,0
784.00,4925.00,0.00,784.00,0
235.00,5108.00,0.00,235.00,0
770.00,5156.00,0.00,770.00,0
231.00,5290.00,0.00,231.00,0
770.00,5359.00,0.00,770.00,0
230.00,5514.00,0.00,230.00,0
770.00,5538.00,0.00,770.00,0
930.00,5714.00,0.00,930.00,0
280.00,5859.00,0.00,280.00,0
784.00,5964.00,0.00,784.00,0
235.00,6108.00,0.00,235.00,0
770.00,6140.00,0.00,770.00,0
231.00,6313.00,0.00,231.00,0
770.00,6340.00,0.00,770.00,0
230.00,6495.00,0.00,230.00,0
770.00,6557.00,0.00,770.00,0
930.00,6714.00,0.00,930.00,0
280.00,6862.00,0.00,280.00,0
784.00,6952.00,0.00,784.00,0
235.00,7085.00,0.00,235.00,0
770.00,7141.00,0.00,770.00,0
231.00,7275.00,0.00,231.00,0
770.00,7341.00,0.00,770.00,0
230.00,7514.00,0.00,230.00,0
770.00,7542.00,0.00,770.00,0
930.00,7714.00,0.00,930.00,0
280.00,7880.00,0.00,280.00,0
784.00,7919.00,0.00,784.00,0
235.00,8106.00,0.00,235.00,0
770.00,8132.00,0.00,770.00,0
231.00,8289.00,0.00,231.00,0
770.00,8358.00,0.00,770.00,0
230.00,8492.00,0.00,230.00,0
770.00,8560.00,0.00,770.00,0
930.00,8714.00,0.00,930.00,0
280.00,8859.00,0.00,280.00,0
784.00,8954.00,0.00,784.00,0
235.00,9087.00,0.00,235.00,0
951.00,9142.00,0.00,951.00,0
105.00,9338.00,0.00,105.00,0
978.00,9338.00,0.00,978.00,0
46.00,9540.00,0.00,46.00,0
958.00,9586.00,0.00,958.00,0
44.00,9743.00,0.00,44.00,0
926.00,9787.00,0.00,926.00,0
977.00,9947.00,0.00,977.00,0
81.00,10108.00,0.00,81.00,0
970.00,10157.00,0.00,970.00,0
45.00,10315.00,0.00,45.00,0
975.00,10354.00,0.00,975.00,0
31.00,10555.00,0.00,31.00,0
984.00,10555.00,0.00,984.00,0
1030.00,10756.00,0.00,1030.00,0
1000.00,10953.00,0.00,1000.00,0
1000.00,11161.00,0.00,1000.00,0
1000.00,11236.00,0.00,1000.00,0
1000.00,11143.00,0.00,1000.00,0
1000.00,11157.00,0.00,1000.00,0
1000.00,11149.00,0.00,1000.00,0
1000.00,11153.00,0.00,1000.00,0
1000.00,11112.00,0.00,1000.00,0
1000.00,11147.00,0.00,1000.00,0
1000.00,11164.00,0.00,1000.00,0
1000.00,11142.00,0.00,1000.00,0
1000.00,11272.00,0.00,1000.00,0
1000.00,11149.00,0.00,1000.00,0
1000.00,11063.00,0.00,1000.00,0
1000.00,11120.00,0.00,1000.00,0
1000.00,11106.00,0.00,1000.00,0
1000.00,11070.00,0.00,1000.00,0
1141.00,11105.00,0.00,1000.00,282
1000.00,11108.00,0.00,1000.00,0
1140.00,11094.00,0.00,1000.00,280
1151.50,11108.00,0.00,1000.00,303
1157.50,11108.00,0.00,1000.00,315
1156.50,10983.00,0.00,1000.00,313
1170.00,11086.00,0.00,1000.00,340
1164.50,11115.00,0.00,1000.00,329
1177.00,11015.00,0.00,1000.00,354
1179.00,11091.00,0.00,1000.00,358
1188.50,11109.00,0.00,1000.00,377
1173.00,11086.00,0.00,1000.00,346
1174.50,11148.00,0.00,1000.00,349
1185.00,11027.00,0.00,1000.00,370
1199.00,10975.00,0.00,1000.00,398
1193.50,10994.00,0.00,1000.00,387
1198.50,11105.00,0.00,1000.00,397
1201.00,11123.00,0.00,1000.00,402
1205.50,11138.00,0.00,1000.00,411
1214.50,11114.00,0.00,1000.00,429
1234.00,11124.00,0.00,1000.00,468
1236.00,10962.00,0.00,1000.00,472
1236.50,11086.00,0.00,1000.00,473
1241.50,11080.00,0.00,1000.00,483
1237.50,11093.00,0.00,1000.00,475
1265.00,11110.00,0.00,1000.00,530
1263.00,11108.00,0.00,1000.00,526
1274.50,10940.00,0.00,1000.00,549
1262.00,11045.00,0.00,1000.00,524
1251.50,10940.00,0.00,1000.00,503
1272.50,10997.00,0.00,1000.00,545
1000.00,11059.00,0.00,1000.00,0
1000.00,11056.00,0.00,1000.00,0
1288.50,11052.00,0.00,1000.00,577
1281.50,10938.00,0.00,1000.00,563
1291.00,10931.00,0.00,1000.00,582
1000.00,10888.00,0.00,1000.00,0
1000.00,11043.00,0.00,1000.00,0
1000.00,11046.00,0.00,1000.00,0
1000.00,10999.00,0.00,1000.00,0
1323.00,11037.00,0.00,1000.00,646
1326.00,11044.00,0.00,1000.00,652
1317.50,11040.00,0.00,1000.00,635
1316.00,11039.00,0.00,1000.00,632
1304.00,10867.00,0.00,1000.00,608
1000.00,10872.00,0.00,1000.00,0
1326.00,11038.00,0.00,1000.00,652
1324.50,11037.00,0.00,1000.00,649
1339.50,11000.00,0.00,1000.00,679
1324.50,10863.00,0.00,1000.00,649
1327.50,10863.00,0.00,1000.00,655
1000.00,10868.00,0.00,1000.00,0
1000.00,11036.00,0.00,1000.00,0
1000.00,11042.00,0.00,1000.00,0
1000.00,10999.00,0.00,1000.00,0
1000.00,11043.00,0.00,1000.00,0
1000.00,11094.00,0.00,1000.00,0
1000.00,11000.00,0.00,1000.00,0
1332.50,11000.00,0.00,1000.00,665
1340.50,10928.00,0.00,1000.00,681
1000.00,10931.00,0.00,1000.00,0
1327.00,11066.00,0.00,1000.00,654
1315.00,11105.00,0.00,1000.00,630
1322.50,11105.00,0.00,1000.00,645
1333.50,11000.00,0.00,1000.00,667
1315.50,10832.00,0.00,1000.00,631
1314.50,10831.00,0.00,1000.00,629
1000.00,10944.00,0.00,1000.00,0
1000.00,11112.00,0.00,1000.00,0
1000.00,11115.00,0.00,1000.00,0
1000.00,11000.00,0.00,1000.00,0
1331.00,11117.00,0.00,1000.00,662
