Timestamp,WC1,WC2,TotalInBatch
1771015132890,813,187,1000
1771015132963,793,392,1185
1771015132992,149,207,356
1771015133037,809,298,1107
1771015133084,930,403,1333
1771015133134,188,212,400
1771015133189,787,333,1120
1771015133233,123,213,336
1771015133293,781,320,1101
1771015133334,112,219,331
1771015133388,813,287,1100
1771015133432,143,187,330
1771015133487,800,300,1100
1771015133535,955,375,1330
1771015133587,225,175,400
1771015133636,813,307,1120
1771015133682,149,187,336
1771015133733,0,101,101
1771015133786,800,200,1000
1771015133833,816,382,1198
1771015133883,176,184,360
1771015133937,799,310,1109
1771015133984,929,404,1333
1771015134034,197,203,400
1771015134087,786,334,1120
1771015134133,122,214,336
1771015134188,805,296,1101
1771015134233,136,195,331
1771015134288,788,312,1100
1771015134335,118,212,330
1771015134388,795,305,1100
1771015134437,918,412,1330
1771015134484,193,207,400
1771015134539,787,333,1120
1771015134601,123,213,336
1771015134636,779,322,1101
1771015134682,110,221,331
1771015134737,812,288,1100
1771015134783,142,188,330
1771015134837,806,294,1100
1771015134883,136,194,330
1771015134937,798,302,1100
1771015134986,959,371,1330
1771015135034,231,169,400
1771015135087,784,336,1120
1771015135135,120,216,336
1771015135187,798,303,1101
1771015135235,129,202,331
1771015135287,792,308,1100
1771015135333,122,208,330
1771015135385,799,301,1100
1771015135436,961,369,1330
1771015135483,232,168,400
1771015135536,823,297,1120
1771015135583,159,177,336
1771015135636,805,296,1101
1771015135684,136,195,331
1771015135736,787,313,1100
1771015135783,117,213,330
1771015135844,810,290,1100
1771015135884,920,410,1330
1771015135933,180,220,400
1771015135987,809,311,1120
1771015136034,145,191,336
1771015136087,808,293,1101
1771015136133,139,192,331
1771015136186,810,290,1100
1771015136234,140,190,330
1771015136286,802,298,1100
1771015136337,929,401,1330
1771015136385,197,203,400
1771015136437,780,340,1120
1771015136485,116,220,336
1771015136538,790,311,1101
1771015136584,121,210,331
1771015136638,802,298,1100
1771015136684,132,198,330
1771015136736,796,304,1100
1771015136786,917,413,1330
1771015136834,191,209,400
1771015136884,812,308,1120
1771015136934,148,188,336
1771015136984,791,310,1101
1771015137034,0,150,150
1771015137085,805,240,1045
1771015137133,0,67,67
1771015137185,786,235,1021
1771015137234,0,63,63
1771015137286,757,262,1019
1771015137333,805,288,1093
1771015137385,0,116,116
1771015137436,793,242,1035
1771015137485,0,65,65
1771015137536,797,223,1020
1771015137586,0,45,45
1771015137636,803,211,1014
1771015137686,798,232,1030
1771015137786,814,186,1000
1771015137887,818,182,1000
1771015137988,785,215,1000
1771015138089,800,200,1000
1771015138137,801,199,1000
